"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","35","1","1","25.715086","0","125"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","35","1","1","22.689837","0","585"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","40","4","1","23.440643","0","803"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","3","1","5.242833","0","52"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","64","6","2","35.736427","0","1272"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","8","1","1","3.923191","0","43"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","54","1","1","29.787443","0","1457"
"/Game/MODELS/VHS/TAPE/M_VHSTapeHidden.M_VHSTapeHidden","0","29","2","1","14.963859","0","452"
"/Game/MODELS/VHS/TAPE/M_VHSTape.M_VHSTape","0","29","1","1","15.084792","0","251"
"/Game/MODELS/VHS/RewindMachine/M_RewindButtons.M_RewindButtons","0","14","1","1","7.920439","0","72"
"/Game/MODELS/VHS/RewindMachine/M_RewindMachine.M_RewindMachine","0","14","1","1","7.792971","0","101"
"/Game/MODELS/RAG/M_Rag.M_Rag","0","47","1","1","30.541075","0","666"
"/Game/MODELS/DVD/DECALS/DVD_DIRT/M_DVD_Dirt.M_DVD_Dirt","0","21","1","1","12.554580","0","187"
"/Game/MODELS/DVD/M_DVD_Mat.M_DVD_Mat","0","14","1","1","7.921505","0","82"
"/Game/MODELS/DVD/M_DVD.M_DVD","0","54","1","1","30.219486","0","809"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","40","2","1","27.118401","0","653"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","8","1","1","4.791022","0","27"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","15","1","1","9.634596","0","79"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","92","13","6","46.929070","0","649"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","35","5","1","20.460121","0","363"
"/Interchange/gltf/M_Unlit.M_Unlit","0","114","6","6","55.802197","0","942"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","83","1","1","72.103493","0","857"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","109","1","1","94.207817","0","1461"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","258","6","6","316.224731","0","2722"
"/Interchange/gltf/M_Transmission.M_Transmission","0","100","2","2","678.033081","0","992"
"/Interchange/gltf/M_Sheen.M_Sheen","0","258","6","6","330.102966","0","2847"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","258","6","6","321.718384","0","2464"
"/Interchange/gltf/M_Default.M_Default","0","258","7","6","311.422638","0","2689"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","38","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","38","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","18","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","54","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","20","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/MODELS/VHS/TAPE/M_VHSTapeBlack.M_VHSTapeBlack","0","0","14","1","0.000000","0","0"
"/Game/MODELS/SRAPYBOTTLE/M_SprayBottle.M_SprayBottle","0","0","14","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
